,UserID,CrosswordID,RawTime,ScaledTime,Rank
84,4.0,19.0,39.0,0.83,6.0
85,4.0,20.0,220.0,4.31,14.0
86,4.0,21.0,76.0,1.17,14.0
87,4.0,22.0,56.0,1.23,14.0
88,4.0,24.0,85.0,1.56,21.0
89,4.0,25.0,85.0,1.39,17.0
90,4.0,27.0,36.0,0.88,5.0
91,4.0,28.0,57.0,1.43,14.0
92,4.0,30.0,466.0,10.84,17.0
93,5.0,1.0,46.0,0.79,8.0
94,5.0,2.0,67.0,1.06,10.0
95,5.0,3.0,65.0,1.03,10.0
96,5.0,4.0,39.0,0.46,2.0
97,5.0,6.0,31.0,0.48,3.0
98,5.0,7.0,142.0,1.15,15.0
99,5.0,8.0,45.0,0.78,3.0
100,5.0,9.0,37.0,0.54,4.0
101,5.0,10.0,36.0,0.72,4.0
102,5.0,11.0,40.0,0.62,4.0
103,5.0,12.0,45.0,0.8,5.0
104,5.0,13.0,39.0,0.48,4.0
105,5.0,14.0,141.0,1.66,17.0
106,5.0,15.0,41.0,0.86,5.0
107,5.0,16.0,75.0,2.31,17.0
108,5.0,17.0,57.0,1.0,10.0
109,5.0,18.0,28.0,0.72,3.0
110,5.0,19.0,46.0,0.98,11.0
111,5.0,20.0,60.0,1.18,9.0
112,5.0,21.0,42.0,0.65,3.0
113,5.0,22.0,43.0,0.95,8.0
114,5.0,23.0,44.0,1.01,10.0
115,5.0,24.0,48.0,0.88,9.0
116,5.0,25.0,32.0,0.52,1.0
117,5.0,26.0,83.0,1.55,16.0
118,5.0,28.0,32.0,0.8,6.0
119,5.0,29.0,27.0,0.68,2.0
120,5.0,30.0,34.0,0.79,3.0
121,6.0,1.0,66.0,1.14,14.0
122,6.0,2.0,203.0,3.22,17.0
123,6.0,3.0,49.0,0.78,7.0
124,6.0,4.0,40.0,0.48,3.0
125,6.0,5.0,161.0,1.49,18.0
126,6.0,6.0,63.0,0.98,10.0
127,6.0,7.0,525.0,4.27,21.0
128,6.0,8.0,49.0,0.84,4.0
129,6.0,9.0,35.0,0.51,3.0
130,6.0,11.0,35.0,0.54,3.0
131,6.0,12.0,139.0,2.48,19.0
132,6.0,13.0,43.0,0.53,5.0
133,6.0,14.0,256.0,3.01,19.0
134,6.0,15.0,44.0,0.93,8.0
135,6.0,16.0,75.0,2.31,17.0
136,6.0,17.0,78.0,1.37,17.0
137,6.0,18.0,30.0,0.77,5.0
138,6.0,19.0,28.0,0.6,2.0
139,6.0,21.0,62.0,0.95,10.0
140,6.0,24.0,54.0,0.99,12.0
141,6.0,25.0,166.0,2.72,21.0
142,6.0,26.0,61.0,1.14,12.0
143,6.0,27.0,55.0,1.34,16.0
144,6.0,28.0,31.0,0.78,5.0
145,6.0,29.0,65.0,1.63,11.0
146,6.0,30.0,50.0,1.16,12.0
147,7.0,1.0,79.0,1.36,16.0
148,7.0,3.0,203.0,3.22,17.0
149,7.0,5.0,145.0,1.34,17.0
150,7.0,6.0,79.0,1.23,14.0
151,7.0,7.0,227.0,1.85,19.0
152,7.0,10.0,32.0,0.64,3.0
153,7.0,17.0,61.0,1.07,12.0
154,7.0,18.0,110.0,2.82,24.0
155,7.0,19.0,77.0,1.64,21.0
156,7.0,27.0,68.0,1.66,17.0
157,7.0,28.0,69.0,1.73,15.0
158,7.0,30.0,81.0,1.88,16.0
159,8.0,1.0,60.0,1.03,11.0
160,8.0,2.0,63.0,1.0,9.0
161,8.0,3.0,36.0,0.57,3.0
162,8.0,4.0,51.0,0.61,6.0
163,8.0,5.0,110.0,1.02,12.0
164,8.0,6.0,86.0,1.34,15.0
165,8.0,7.0,75.0,0.61,3.0
166,8.0,8.0,37.0,0.64,1.0
167,8.0,9.0,49.0,0.72,9.0
168,8.0,10.0,124.0,2.48,20.0
169,8.0,11.0,49.0,0.76,6.0
170,8.0,12.0,56.0,1.0,9.0
171,8.0,13.0,70.0,0.86,8.0
172,8.0,14.0,84.0,0.99,10.0
173,8.0,15.0,48.0,1.01,11.0
174,8.0,16.0,23.0,0.71,3.0
175,8.0,17.0,57.0,1.0,10.0
176,8.0,18.0,24.0,0.62,1.0
177,8.0,19.0,52.0,1.11,16.0
178,8.0,21.0,44.0,0.68,5.0
179,8.0,22.0,36.0,0.79,5.0
180,8.0,23.0,31.0,0.71,2.0
181,8.0,24.0,29.0,0.53,3.0
182,8.0,25.0,38.0,0.62,3.0
183,8.0,26.0,91.0,1.7,18.0
184,8.0,27.0,25.0,0.61,2.0
185,8.0,28.0,29.0,0.73,4.0
186,8.0,29.0,90.0,2.25,14.0
187,8.0,30.0,30.0,0.7,1.0
188,9.0,1.0,43.0,0.74,5.0
189,9.0,2.0,113.0,1.79,16.0
190,9.0,5.0,133.0,1.23,16.0
191,9.0,6.0,120.0,1.88,18.0
192,9.0,7.0,123.0,1.0,11.0
193,9.0,8.0,54.0,0.93,9.0
194,9.0,9.0,141.0,2.07,20.0
195,9.0,10.0,162.0,3.24,21.0
196,9.0,11.0,76.0,1.18,14.0
197,9.0,12.0,62.0,1.11,12.0
198,9.0,13.0,153.0,1.88,18.0
199,9.0,14.0,54.0,0.64,3.0
200,9.0,15.0,43.0,0.91,6.0
201,9.0,16.0,33.0,1.02,11.0
202,9.0,17.0,83.0,1.46,18.0
203,9.0,18.0,74.0,1.9,21.0
204,9.0,19.0,39.0,0.83,6.0
205,9.0,21.0,195.0,3.0,20.0
206,9.0,22.0,65.0,1.43,15.0
207,9.0,23.0,67.0,1.54,16.0
208,9.0,24.0,61.0,1.12,17.0
209,9.0,25.0,58.0,0.95,9.0
210,9.0,26.0,36.0,0.67,4.0
211,9.0,27.0,33.0,0.8,3.0
212,9.0,28.0,38.0,0.95,7.0
213,9.0,29.0,25.0,0.63,1.0
214,9.0,30.0,79.0,1.84,15.0
215,10.0,4.0,233.0,2.77,18.0
216,10.0,5.0,119.0,1.1,14.0
217,10.0,6.0,65.0,1.02,11.0
218,10.0,7.0,93.0,0.76,6.0
219,10.0,8.0,72.0,1.24,14.0
220,10.0,10.0,104.0,2.08,18.0
221,10.0,11.0,94.0,1.46,18.0
222,10.0,17.0,37.0,0.65,2.0
223,10.0,18.0,52.0,1.33,18.0
224,10.0,19.0,74.0,1.57,20.0
225,10.0,20.0,55.0,1.08,8.0
226,10.0,24.0,82.0,1.5,20.0
227,10.0,25.0,70.0,1.15,16.0
228,10.0,26.0,44.0,0.82,7.0
229,10.0,27.0,54.0,1.32,15.0
230,10.0,28.0,84.0,2.1,16.0
231,11.0,1.0,63.0,1.09,13.0
232,11.0,2.0,69.0,1.1,11.0
233,11.0,3.0,104.0,1.65,15.0
234,11.0,4.0,69.0,0.82,8.0
235,11.0,5.0,60.0,0.56,3.0
